C_CUSTKEY,C_NAME,C_ADDRESS,C_NATIONKEY,C_PHONE,C_ACCTBAL,C_MKTSEGMENT,C_COMMENT
150160,Customer#000150160,5iz9H2Otg09c01 5mOo3IZDjBq,8,18-423-327-7571,2270.91,MACHINERY,"usly regular accounts. carefully ironic packages are slyly about the final, ironic accoun"
150161,Customer#000150161,"FqoWwSb,8aJB,8ZWNeSGmSreQ0pwSxch4rS",10,20-332-915-8310,6070.65,FURNITURE,kindle after the deposits. final requests detect sly
150162,Customer#000150162,I9w9kuJiqb6pAGAnYtDogirjGjYkyV5VFIcyaRuI,3,13-468-433-9721,2356.15,AUTOMOBILE, ideas wake deposits. ironic accounts haggle quickly unusual packages. unusual foxes are. blithe
150163,Customer#000150163,wXt4e4hUjS,10,20-217-565-1485,8719.98,MACHINERY,al requests. furiously silent deposits affix furi
150164,Customer#000150164,8Gm6w8YjH S7oHLPpQNl7g,23,33-540-166-3798,1831.42,AUTOMOBILE,"ns. furiously regular theodolites sleep furiously up the furiously silent requests. even, regular d"
150165,Customer#000150165,JG8Yr6OfOjGeKURzGQxPwpXnyry9,22,32-245-515-4191,687.46,HOUSEHOLD,ly regular deposits. thinly unusual accounts sleep carefully final attainments. special ideas affix furious
150166,Customer#000150166,j2ZWMrGawWf,3,13-694-178-5241,2043.46,HOUSEHOLD,counts sleep. furiously even courts nag furiously blithely pending excuses-
150167,Customer#000150167,"IW9xPTetSJGIFtAM0,WhnAwwvnTMci426,pan4",4,14-370-260-2822,348.72,HOUSEHOLD,"ithely even accounts use according to the blithely ironic deposits. silent, reg"
150168,Customer#000150168,nlm39jq1ueFat4JPRo7kFSwgwvQRCgpWjMit5gD,1,11-697-485-1015,6905.60,BUILDING,lar accounts. carefully regular 
150169,Customer#000150169,"0DxnqOae,n05PxrTP9Oc6QqpdzfEk",9,19-115-554-6216,-606.24,FURNITURE, the final pinto beans cajole 
150170,Customer#000150170,"UwDQ1VlhyG45dTPl3FNjOxc1sheZ0Z,ai",11,21-820-607-7829,5901.46,MACHINERY,d accounts haggle fluffily slyly even dugouts. quickly ironic requests haggle. carefully regular theodolites are sly
150171,Customer#000150171,y0UzXGpVfQRhEMA76cfgiRmM4tS6CYNrcXDSPg,17,27-848-124-5869,7845.05,FURNITURE,carefully regular packages? blithely regular deposits wake quietly after the quickly enticing d
150172,Customer#000150172,"4ceZJd8,,lM",13,23-876-756-4629,3740.18,HOUSEHOLD,y regular accounts affix fluffily final acc
150173,Customer#000150173,CPB qHtZe3RdyQhd1wH17YpcdKdWOPpnh3Le2,24,34-586-318-3938,5129.18,HOUSEHOLD,furiously at the dolphins. quickly ev
150174,Customer#000150174,jwRu7DEpWR,16,26-377-957-5523,8147.49,MACHINERY,ng except the ruthlessly ironic orbit
150175,Customer#000150175,fd43zLyJ5VQrA1RyzHdqdDAK2gLu2v9Rfq4,3,13-367-765-2209,4917.37,MACHINERY,ully dogged accounts are slyly. blithely even sauternes nod furiously accounts. furiously ironic escapade
150176,Customer#000150176,ZEQT6kwsiT4hCWOHo,16,26-469-477-9921,1315.52,BUILDING,dencies. closely enticing theodolites affix quickly. carefully re
150177,Customer#000150177,HyCsN1Q5kUB8z6bE6 P WY8,8,18-288-201-5808,8864.21,HOUSEHOLD,the ironic instructions. furiously bold deposits across the regular foxes
150178,Customer#000150178,"D95b2yDwQGnfOcMn,3 oPsLj",23,33-186-466-6424,5842.52,BUILDING,deposits. special dolphins haggle. furiously 
150179,Customer#000150179,BCKsOri6t1RHbu0hjEiRt12sqkm8,1,11-927-539-7714,7204.90,BUILDING,final pinto beans wake carefully pinto beans. packages across the slyly careful ex
150180,Customer#000150180,Yy0M3B5p6W7PbBbMJv,22,32-664-301-7695,2745.15,MACHINERY, final packages need to haggle slyly among the dependencies. carefully bol
150181,Customer#000150181,19kpquoaTIO5tJS73tp8dMp,2,12-742-796-5960,1716.87,AUTOMOBILE,after the furiously silent deposits. asymptotes cajole furiously express packages. even requests will 
150182,Customer#000150182,wOtPvvmZZa8V0Dvu8v6592ApF,4,14-795-986-1938,450.84,FURNITURE,the requests haggle fluffily unusual theodolites. carefully f
150183,Customer#000150183,"eJsfJ7VH,q3QcFeC1YeHWXJWaNUXB",14,24-316-519-5590,7238.22,BUILDING,ironic accounts: furiously regular packages are past the slyly bold
150184,Customer#000150184,LZhhi8eN8TL6rXaqV7N1d2,18,28-475-890-5779,1808.09,MACHINERY, quickly even accounts. furiously regular packages serve above the final accounts. fur
150185,Customer#000150185,gcEry61fu9OuBUy5 uD4gziNxM,11,21-198-409-9204,4610.33,AUTOMOBILE, the carefully regular epitaphs affix furiously a
150186,Customer#000150186,",GD2PSkRaweRu01j",9,19-224-509-2391,-242.27,BUILDING,uriously ironic requests wake blithely slyly ironic the
150187,Customer#000150187,VV8dw8k xqH,19,29-266-792-4254,7125.85,AUTOMOBILE,y bold frets. blithely dogged accounts about the blithely exp
150188,Customer#000150188,tyBVPEjvu9Q0rKA8A,20,30-403-466-9994,5141.59,MACHINERY,"posits use furiously along the regular, final deposits. boldly silent requests use along t"
150189,Customer#000150189,"FJ0AVb9qydc0t,64no",6,16-485-921-5187,7665.45,MACHINERY, regular packages after the regular instructions slee
150190,Customer#000150190,"1rd62kxIJHnw4PuDLabXygCRoq0A,",7,17-468-821-2675,-661.58,AUTOMOBILE,lyly. stealthy accounts around the slyly silent requests integrate quickly
150191,Customer#000150191,S1yBQcYlNpWbRzO9mNFaM gbF6jBIN6Jt  pM,14,24-335-849-7462,-329.63,FURNITURE,quests. fluffily bold packages sublate quickly. finally even pearls are carefully slyly even accounts. blithely 
150192,Customer#000150192,TiicnqsporJ M1 FNw1eM9jaK1YBGUm1v2G,23,33-341-637-8475,1787.70,FURNITURE,yly blithely bold accounts. deposits wake sl
150193,Customer#000150193,e4uyBj4A5Br a93CMwRrkG0,5,15-958-840-3758,2881.66,BUILDING,slyly against the blithely bold acc
150194,Customer#000150194,"VLrpE,w7amgCzWV3dm5J5FW9ZZ, hywNnbR3qc",5,15-722-567-5273,8025.19,MACHINERY,structions. furiously regular accounts haggle fluf
150195,Customer#000150195,L9ATq7gy 09sN,16,26-406-198-9688,6501.99,FURNITURE,ly carefully final gifts. blithely regular instructions doze quickly ideas. fina
150196,Customer#000150196,DVVttfkRqsRyTIeO,14,24-912-537-7420,3047.26,MACHINERY, of the special pinto beans. regular
150197,Customer#000150197,AgcWALGigrTZtqjn5C,2,12-165-328-1294,8270.84,MACHINERY,into beans grow blithely according to the furiously even accounts. fluffily final requests are 
150198,Customer#000150198,NahV4gn NxuEiGBlh7JN 6nSGlGUjnl4wf,18,28-963-147-6162,9999.46,MACHINERY, blithely accounts. carefully pe
150199,Customer#000150199,evegRfZAcvRhU7,4,14-522-262-8155,1042.16,BUILDING,y regular packages cajole fluffily final accounts. excuses mold; silent epitaphs about the unusual dependencies 
150200,Customer#000150200,"BNf,CB Hbia",19,29-166-330-1764,1530.75,AUTOMOBILE, the furiously final attainments hagg
